"LENS TYPE (CLEAR, COLOUR)",BRAND,COMFORT,PRODUCT,LEAD_TIME,WEARING_HOURS,"MODALITY (1 Day, 2 Weeks, 1 Month, 3 Months)",,"VISION (SPH, ASTIG, MF)",PHOTO,AXIS MF DESC,ASTIG DESCRIPTION,,FULL NAME,2 BOX,,,4 BOX,,,8 BOX,,,PROMO,PRICE 1 BOX (RM),PIECES IN 1 BOX,SUPPLY,1 BOX PRICE & UNIT,MATERIAL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE MOIST,3,12,1 Day, 1 day disposable,SPH,1,C-0.00,"S+0.50, S+0.75, S+1.00, S+1.25, S+1.50, S+1.75, S+2.00, S+2.25, S+2.50, S+2.75, S+3.00, S+3.25, S+3.50, S+3.75, S+4.00, S+4.25, S+4.50, S+4.75, S+5.00, S+5.25, S+5.50, S+5.75, S+6.00, S-0.50, S-0.75, S-1.00, S-1.25, S-1.50, S-1.75, S-2.00, S-2.25, S-2.50, S-2.75, S-3.00, S-3.25, S-3.50, S-3.75, S-4.00, S-4.25, S-4.50, S-4.75, S-5.00, S-5.25, S-5.50, S-5.75, S-6.00, S-6.50, S-7.00, S-7.50, S-8.00, S-8.50, S-9.00, S-9.50, S-10.00, S-10.50, S-11.00, S-11.50, S-12.00",Sphere,"JOHNSON & JOHNSON ACUVUE MOIST , 1 Day Sphere",10,5,160,60,15,150,200,25,140,,165,30,15,30 pieces of 1 day disposable,HYDROGEL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE MOIST,3,12,1 Day, 1 day disposable,MF,2,"+LOW, +MED, +HIGH","S-0.00, S-0.25, S-0.50, S-0.75, S-1.00, S-1.25, S-1.50, S-1.75, S-2.00, S-2.25, S-2.50, S-2.75, S-3.00, S-3.25, S-3.50, S-3.75, S-4.00, S-4.25, S-4.50, S-4.75, S-5.00, S-5.25, S-5.50, S-5.75, S-6.00, S-6.25, S-6.50, S-6.75, S-7.00, S-7.25, S-7.50, S-7.75, S-8.00, S-8.25, S-8.50, S-8.75, S-9.00, S+0.25, S+0.50, S+0.75, S+1.00, S+1.25, S+1.50, S+1.75, S+2.00, S+2.25, S+2.50, S+2.75, S+3.00, S+3.25, S+3.50, S+3.75, S+4.00, S+4.25, S+4.50, S+4.75, S+5.00, S+5.25, S+5.50, S+5.75, S+6.00",Multi-focal,"JOHNSON & JOHNSON ACUVUE MOIST , 1 Day Multi-focal",10,5,250,120,30,225,320,40,215,"Buy 2 packs, get 5 extra pieces free. (Max 10 pieces) *While Stock Last",255,30,15,30 pieces of 1 day disposable,HYDROGEL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE MOIST,3,12,1 Day, 1 day disposable,ASTIG,3,"C-0.75, C-1.25, C-1.75 ; X20, X70, X90, X110, X160, X180","S+0.25, S+0.50, S+0.75, S+1.00, S+1.25, S+1.50, S+1.75, S+2.00, S+2.25, S+2.50, S+2.75, S+3.00, S+3.25, S+3.50, S+3.75, S+4.00",Astigmatism,"JOHNSON & JOHNSON ACUVUE MOIST , 1 Day Astigmatism",10,5,200,40,10,195,160,20,185,"Buy 2 packs, get 5 extra pieces free. (Max 10 pieces) *While Stock Last",205,30,15,30 pieces of 1 day disposable,HYDROGEL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE MOIST,3,12,1 Day, 1 day disposable,ASTIG,3,"C-0.75, C-1.25, C-1.75 ; X10, X20, X60, X70, X80, X90, X100, X110, X120, X160, X170, X180","S-0.00, S-0.25, S-0.50, S-0.75, S-1.00, S-1.25, S-1.50, S-1.75, S-2.00, S-2.25, S-2.50, S-2.75, S-3.00, S-3.25, S-3.50, S-3.75, S-4.00, S-4.25, S-4.50, S-4.75, S-5.00, S-5.25, S-5.50, S-5.75, S-6.00",Astigmatism,"JOHNSON & JOHNSON ACUVUE MOIST , 1 Day Astigmatism",10,5,200,40,10,195,160,20,185,"Buy 2 packs, get 5 extra pieces free. (Max 10 pieces) *While Stock Last",205,30,15,30 pieces of 1 day disposable,HYDROGEL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE MOIST,3,12,1 Day, 1 day disposable,ASTIG,3,"C-2.25 ; X20, X90, X160, X180","S-0.00, S-0.25, S-0.50, S-0.75, S-1.00, S-1.25, S-1.50, S-1.75, S-2.00, S-2.25, S-2.50, S-2.75, S-3.00, S-3.25, S-3.50, S-3.75, S-4.00, S-4.25, S-4.50, S-4.75, S-5.00, S-5.25, S-5.50, S-5.75, S-6.00",Astigmatism,"JOHNSON & JOHNSON ACUVUE MOIST , 1 Day Astigmatism",10,5,200,40,10,195,160,20,185,"Buy 2 packs, get 5 extra pieces free. (Max 10 pieces) *While Stock Last",205,30,15,30 pieces of 1 day disposable,HYDROGEL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE MOIST,3,12,1 Day, 1 day disposable,ASTIG,3,"C-0.75, C-1.25, C-1.75 ; X10, X20, X70, X80, X90, X100, X110, X160, X170, X180","S-6.50, S-7.00, S-7.50, S-8.00, S-8.50, S-9.00",Astigmatism,"JOHNSON & JOHNSON ACUVUE MOIST , 1 Day Astigmatism",10,5,200,40,10,195,160,20,185,"Buy 2 packs, get 5 extra pieces free. (Max 10 pieces) *While Stock Last",205,30,15,30 pieces of 1 day disposable,HYDROGEL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE VITA,3,12,1 Month, 1 month disposable,SPH,4,C-0.00,"S+0.50, S+0.75, S+1.00, S+1.25, S+1.50, S+1.75, S+2.00, S+2.25, S+2.50, S+2.75, S+3.00, S+3.25, S+3.50, S+3.75, S+4.00, S+4.25, S+4.50, S+4.75, S+5.00, S+5.25, S+5.50, S+5.75, S+6.00, S-0.50, S-0.75, S-1.00, S-1.25, S-1.50, S-1.75, S-2.00, S-2.25, S-2.50, S-2.75, S-3.00, S-3.25, S-3.50, S-3.75, S-4.00, S-4.25, S-4.50, S-4.75, S-5.00, S-5.25, S-5.50, S-5.75, S-6.00, S-6.50, S-7.00, S-7.50, S-8.00, S-8.50, S-9.00, S-9.50, S-10.00, S-10.50, S-11.00, S-11.50, S-12.00, S+6.50, S+7.00, S+7.50, S+8.00",Sphere,"JOHNSON & JOHNSON ACUVUE VITA , 1 Month Sphere",10,5,195,140,35,165,320,40,160,"Buy 2 packs, get 1 extra pieces free. (Max 2 pieces) *While Stock Last",200,6,90,6 pieces of 1 month disposable,SILICONE HYDROGEL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE VITA,3,12,1 Month, 1 month disposable,ASTIG,5,"C-0.75, C-1.25, C-1.75 ; X10, X20, X30, X40, X50, X60, X70, X80, X90, X100, X110, X120, X130, X140, X150, X160, X170, X180","S-0.00, S-0.25, S-0.50, S-0.75, S-1.00, S-1.25, S-1.50, S-1.75, S-2.00, S-2.25, S-2.50, S-2.75, S-3.00, S-3.25, S-3.50, S-3.75, S-4.00, S-4.25, S-4.50, S-4.75, S-5.00, S-5.25, S-5.50, S-5.75, S-6.00",Astigmatism,"JOHNSON & JOHNSON ACUVUE VITA , 1 Month Astigmatism",10,5,250,160,40,215,360,45,210,"Buy 2 packs, get 1 extra pieces free. (Max 2 pieces) *While Stock Last",255,6,90,6 pieces of 1 month disposable,SILICONE HYDROGEL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE VITA,3,12,1 Month, 1 month disposable,ASTIG,5,"C-2.25 ; X10, X20, X70, X80, X90, X100, X110, X160, X170, X180","S-0.00, S-0.25, S-0.50, S-0.75, S-1.00, S-1.25, S-1.50, S-1.75, S-2.00, S-2.25, S-2.50, S-2.75, S-3.00, S-3.25, S-3.50, S-3.75, S-4.00, S-4.25, S-4.50, S-4.75, S-5.00, S-5.25, S-5.50, S-5.75, S-6.00",Astigmatism,"JOHNSON & JOHNSON ACUVUE VITA , 1 Month Astigmatism",10,5,250,160,40,215,360,45,210,"Buy 2 packs, get 1 extra pieces free. (Max 2 pieces) *While Stock Last",255,6,90,6 pieces of 1 month disposable,SILICONE HYDROGEL
CLEAR,JOHNSON & JOHNSON,PREMIUM,ACUVUE VITA,3,12,1 Month, 1 month disposable,ASTIG,5,"C-0.75, C-1.25, C-1.75 ; X10, X20, X70, X80, X90, X100, X110, X160, X170, X180","S-6.50, S-7.00, S-7.50, S-8.00, S-8.50, S-9.00, S+0.25, S+0.50, S+0.75, S+1.00, S+1.25, S+1.50, S+1.75, S+2.00, S+2.25, S+2.50, S+2.75, S+3.00, S+3.25, S+3.50, S+3.75, S+4.00",Astigmatism,"JOHNSON & JOHNSON ACUVUE VITA , 1 Month Astigmatism",10,5,250,160,40,215,360,45,210,"Buy 2 packs, get 1 extra pieces free. (Max 2 pieces) *While Stock Last",255,6,90,6 pieces of 1 month disposable,SILICONE HYDROGEL
